㊨	方向	方位	向右	右
㊧	方向	方位	向左	左
㊦	方向	方位	向下	下
㊥	方向	方位	正中	中	中间
㊤	方向	方位	向上	上
㊣	方向	方位	正中	正
◥	方向	方位	右上
◤	方向	方位	左上
◣	方向	方位	左下
◢	方向	方位	右下
