ㄯ	注音符号	n
ㄮ	注音符号	o
ㄭ	注音符号	ih
ㄬ	注音符号	gn
ㄫ	注音符号	ng
ㄪ	注音符号	v
ㄩ	注音符号	iu
ㄨ	注音符号	u
ㄧ	注音符号	i
ㄦ	注音符号	er
ㄥ	注音符号	eng
ㄤ	注音符号	ang
ㄣ	注音符号	en
ㄢ	注音符号	an
ㄡ	注音符号	ou
ㄠ	注音符号	au
ㄟ	注音符号	ei
ㄞ	注音符号	ai
ㄝ	注音符号	eh
ㄜ	注音符号	e
ㄛ	注音符号	o
ㄚ	注音符号	a
ㄙ	注音符号	si
ㄘ	注音符号	ci
ㄗ	注音符号	zi
ㄖ	注音符号	ri
ㄕ	注音符号	shi
ㄔ	注音符号	chi
ㄓ	注音符号	zhi
ㄒ	注音符号	x
ㄑ	注音符号	q
ㄐ	注音符号	j
ㄏ	注音符号	h
ㄎ	注音符号	k
ㄍ	注音符号	g
ㄌ	注音符号	l
ㄋ	注音符号	n
ㄊ	注音符号	t
ㄉ	注音符号	d
ㄈ	注音符号	f
ㄇ	注音符号	m
ㄆ	注音符号	p
ㄅ	注音符号	b
